"","city","stateProvince","n","medianSalary","cityMeanClick","cityMeanLocalClick","localRatio","lng","lat","SalaryInfo","ClickInfo","LocalClickInfo"
"275","Jackson","MS",244,41050,33.7988885295396,8.17921457453269,0.241996554631795,-90.2124,32.3163,"Annual estimated Salary in  Jackson : $ 41050","Daily estimated Click per job in  Jackson :  33.7988885295396 clicks","Daily estimated Local Click ratio per job in  Jackson : $ 0.241996554631795"
"276","Tacoma","WA",466,41000,22.7663596276279,5.35971472769828,0.23542256273568,-122.4531,47.2431,"Annual estimated Salary in  Tacoma : $ 41000","Daily estimated Click per job in  Tacoma :  22.7663596276279 clicks","Daily estimated Local Click ratio per job in  Tacoma : $ 0.23542256273568"
"277","Bakersfield","CA",414,40950,26.6855671980218,12.3015640350519,0.460981921192359,-119.0354,35.3528,"Annual estimated Salary in  Bakersfield : $ 40950","Daily estimated Click per job in  Bakersfield :  26.6855671980218 clicks","Daily estimated Local Click ratio per job in  Bakersfield : $ 0.460981921192359"
"278","Hawthorne","CA",86,40950,17.773444823871,2.01821533158068,0.11355228834818,-118.3476,33.9147,"Annual estimated Salary in  Hawthorne : $ 40950","Daily estimated Click per job in  Hawthorne :  17.773444823871 clicks","Daily estimated Local Click ratio per job in  Hawthorne : $ 0.11355228834818"
"279","Oxnard","CA",158,40950,21.986540167413,7.56199162306509,0.343937316443856,-119.1821,34.1961,"Annual estimated Salary in  Oxnard : $ 40950","Daily estimated Click per job in  Oxnard :  21.986540167413 clicks","Daily estimated Local Click ratio per job in  Oxnard : $ 0.343937316443856"
"280","Long Beach","CA",368,40900,30.1163817233103,6.75373582178453,0.224254556335268,-118.161,33.8059,"Annual estimated Salary in  Long Beach : $ 40900","Daily estimated Click per job in  Long Beach :  30.1163817233103 clicks","Daily estimated Local Click ratio per job in  Long Beach : $ 0.224254556335268"
"281","Palm Springs","CA",108,40900,22.6752011859257,2.52264596564702,0.111251315697821,-116.538,33.8012,"Annual estimated Salary in  Palm Springs : $ 40900","Daily estimated Click per job in  Palm Springs :  22.6752011859257 clicks","Daily estimated Local Click ratio per job in  Palm Springs : $ 0.111251315697821"
"282","Columbus","OH",1996,40800,22.6019277981037,6.18561487170339,0.273676428265662,-82.9852,39.9859,"Annual estimated Salary in  Columbus : $ 40800","Daily estimated Click per job in  Columbus :  22.6019277981037 clicks","Daily estimated Local Click ratio per job in  Columbus : $ 0.273676428265662"
"283","Saint Petersburg","FL",479,40800,24.4439723877277,5.39079264096504,0.220536685095895,-82.6652,27.7931,"Annual estimated Salary in  Saint Petersburg : $ 40800","Daily estimated Click per job in  Saint Petersburg :  24.4439723877277 clicks","Daily estimated Local Click ratio per job in  Saint Petersburg : $ 0.220536685095895"
"284","Minnetonka","MN",156,40750,17.793241930235,1.28429577003701,0.0721788516714701,-93.4601,44.9324,"Annual estimated Salary in  Minnetonka : $ 40750","Daily estimated Click per job in  Minnetonka :  17.793241930235 clicks","Daily estimated Local Click ratio per job in  Minnetonka : $ 0.0721788516714701"
"285","Culver City","CA",164,40650,25.6707886620272,1.56805570336938,0.0610832695486636,-118.3968,34.0058,"Annual estimated Salary in  Culver City : $ 40650","Daily estimated Click per job in  Culver City :  25.6707886620272 clicks","Daily estimated Local Click ratio per job in  Culver City : $ 0.0610832695486636"
"286","Sebring","FL",56,40650,17.4071659874518,3.04956524845845,0.175190220548065,-81.453,27.4771,"Annual estimated Salary in  Sebring : $ 40650","Daily estimated Click per job in  Sebring :  17.4071659874518 clicks","Daily estimated Local Click ratio per job in  Sebring : $ 0.175190220548065"
"287","Lansing","MI",400,40600,21.0169292299501,4.93014917715711,0.234579900955817,-84.5598,42.7142,"Annual estimated Salary in  Lansing : $ 40600","Daily estimated Click per job in  Lansing :  21.0169292299501 clicks","Daily estimated Local Click ratio per job in  Lansing : $ 0.234579900955817"
"288","New Bedford","MA",69,40600,19.7564936908023,4.61208581928587,0.233446576678384,-70.9428,41.6697,"Annual estimated Salary in  New Bedford : $ 40600","Daily estimated Click per job in  New Bedford :  19.7564936908023 clicks","Daily estimated Local Click ratio per job in  New Bedford : $ 0.233446576678384"
"289","Woburn","MA",130,40550,20.2335736081719,1.79974677996653,0.0889485374565593,-71.1543,42.4868,"Annual estimated Salary in  Woburn : $ 40550","Daily estimated Click per job in  Woburn :  20.2335736081719 clicks","Daily estimated Local Click ratio per job in  Woburn : $ 0.0889485374565593"
"290","Raleigh-Durham","NC",76,40500,33.0715796876135,1.30240306748911,0.0393813382908017,NA,NA,"Annual estimated Salary in  Raleigh-Durham : $ 40500","Daily estimated Click per job in  Raleigh-Durham :  33.0715796876135 clicks","Daily estimated Local Click ratio per job in  Raleigh-Durham : $ 0.0393813382908017"
"291","Walnut Creek","CA",237,40500,17.8539358084993,1.80214064761743,0.100938004199585,-122.0398,37.9025,"Annual estimated Salary in  Walnut Creek : $ 40500","Daily estimated Click per job in  Walnut Creek :  17.8539358084993 clicks","Daily estimated Local Click ratio per job in  Walnut Creek : $ 0.100938004199585"
"292","Auburn","AL",95,40400,23.5917022468351,3.97841386004107,0.168636150898132,-85.4897,32.6084,"Annual estimated Salary in  Auburn : $ 40400","Daily estimated Click per job in  Auburn :  23.5917022468351 clicks","Daily estimated Local Click ratio per job in  Auburn : $ 0.168636150898132"
"293","Concord","CA",226,40300,18.8272839895033,2.12763778132302,0.11300821629446,-122.0016,37.9722,"Annual estimated Salary in  Concord : $ 40300","Daily estimated Click per job in  Concord :  18.8272839895033 clicks","Daily estimated Local Click ratio per job in  Concord : $ 0.11300821629446"
"294","Marion","OH",60,40300,14.1115021314639,3.52560246638292,0.24983892101196,-83.1237,40.5933,"Annual estimated Salary in  Marion : $ 40300","Daily estimated Click per job in  Marion :  14.1115021314639 clicks","Daily estimated Local Click ratio per job in  Marion : $ 0.24983892101196"
"295","Pawtucket","RI",51,40300,16.5216788332268,2.68926663852008,0.162771995852606,-71.3744,41.8743,"Annual estimated Salary in  Pawtucket : $ 40300","Daily estimated Click per job in  Pawtucket :  16.5216788332268 clicks","Daily estimated Local Click ratio per job in  Pawtucket : $ 0.162771995852606"
"296","Phoenix","AZ",2647,40300,25.0853195413161,7.0079767878286,0.279365657522771,-112.0891,33.5722,"Annual estimated Salary in  Phoenix : $ 40300","Daily estimated Click per job in  Phoenix :  25.0853195413161 clicks","Daily estimated Local Click ratio per job in  Phoenix : $ 0.279365657522771"
"297","Gardena","CA",100,40250,28.2905766929932,2.07421680990506,0.0733182936641509,-118.3073,33.8944,"Annual estimated Salary in  Gardena : $ 40250","Daily estimated Click per job in  Gardena :  28.2905766929932 clicks","Daily estimated Local Click ratio per job in  Gardena : $ 0.0733182936641509"
"298","Scranton","PA",150,40250,19.6480548456851,4.26427981350463,0.217033179467183,-75.6649,41.4043,"Annual estimated Salary in  Scranton : $ 40250","Daily estimated Click per job in  Scranton :  19.6480548456851 clicks","Daily estimated Local Click ratio per job in  Scranton : $ 0.217033179467183"
"299","Anchorage","AK",319,40200,20.3568539445106,6.7052420991494,0.329384988339886,-149.1091,61.1508,"Annual estimated Salary in  Anchorage : $ 40200","Daily estimated Click per job in  Anchorage :  20.3568539445106 clicks","Daily estimated Local Click ratio per job in  Anchorage : $ 0.329384988339886"
"300","Portland","OR",1569,40100,21.523855117598,7.29701695553582,0.339019981117125,-122.65,45.5372,"Annual estimated Salary in  Portland : $ 40100","Daily estimated Click per job in  Portland :  21.523855117598 clicks","Daily estimated Local Click ratio per job in  Portland : $ 0.339019981117125"
"301","Newport Beach","CA",226,40050,21.4128862957004,1.86847585727451,0.0872594115278,-117.8669,33.6151,"Annual estimated Salary in  Newport Beach : $ 40050","Daily estimated Click per job in  Newport Beach :  21.4128862957004 clicks","Daily estimated Local Click ratio per job in  Newport Beach : $ 0.0872594115278"
"302","Florence","SC",137,40000,33.422127074674,8.37418322456224,0.250558057117432,-79.785,34.1782,"Annual estimated Salary in  Florence : $ 40000","Daily estimated Click per job in  Florence :  33.422127074674 clicks","Daily estimated Local Click ratio per job in  Florence : $ 0.250558057117432"
"303","Manassas","VA",223,40000,22.8083577530459,3.60907009866386,0.158234544448159,-77.484,38.748,"Annual estimated Salary in  Manassas : $ 40000","Daily estimated Click per job in  Manassas :  22.8083577530459 clicks","Daily estimated Local Click ratio per job in  Manassas : $ 0.158234544448159"
"304","Palmdale","CA",130,40000,19.6139876680359,6.91787792846337,0.35270124798422,-118.1058,34.5945,"Annual estimated Salary in  Palmdale : $ 40000","Daily estimated Click per job in  Palmdale :  19.6139876680359 clicks","Daily estimated Local Click ratio per job in  Palmdale : $ 0.35270124798422"
"305","Suffolk","VA",104,40000,36.3889563724501,5.56229072922294,0.152856560993162,-76.6398,36.6953,"Annual estimated Salary in  Suffolk : $ 40000","Daily estimated Click per job in  Suffolk :  36.3889563724501 clicks","Daily estimated Local Click ratio per job in  Suffolk : $ 0.152856560993162"
"306","Palm Beach Gardens","FL",114,39950,30.6628114472245,3.34357035866736,0.109043176436126,-80.1654,26.8489,"Annual estimated Salary in  Palm Beach Gardens : $ 39950","Daily estimated Click per job in  Palm Beach Gardens :  30.6628114472245 clicks","Daily estimated Local Click ratio per job in  Palm Beach Gardens : $ 0.109043176436126"
"307","Shreveport","LA",226,39900,32.9784375902334,8.92816465854399,0.270727339162607,-93.7959,32.4659,"Annual estimated Salary in  Shreveport : $ 39900","Daily estimated Click per job in  Shreveport :  32.9784375902334 clicks","Daily estimated Local Click ratio per job in  Shreveport : $ 0.270727339162607"
"308","Syracuse","NY",481,39900,23.7752864583719,6.10856213659916,0.256929065704198,-76.1438,43.0409,"Annual estimated Salary in  Syracuse : $ 39900","Daily estimated Click per job in  Syracuse :  23.7752864583719 clicks","Daily estimated Local Click ratio per job in  Syracuse : $ 0.256929065704198"
"309","Las Cruces","NM",149,39800,21.4026462506783,5.85980847785432,0.273788970261965,-106.7893,32.3265,"Annual estimated Salary in  Las Cruces : $ 39800","Daily estimated Click per job in  Las Cruces :  21.4026462506783 clicks","Daily estimated Local Click ratio per job in  Las Cruces : $ 0.273788970261965"
"310","Stanford","CA",52,39800,19.3943591645933,1.37119681213009,0.0707008053472255,-122.1674,37.4252,"Annual estimated Salary in  Stanford : $ 39800","Daily estimated Click per job in  Stanford :  19.3943591645933 clicks","Daily estimated Local Click ratio per job in  Stanford : $ 0.0707008053472255"
"311","Waukesha","WI",179,39800,17.3331892749694,2.77808245166951,0.160275319654029,-88.2462,43.0088,"Annual estimated Salary in  Waukesha : $ 39800","Daily estimated Click per job in  Waukesha :  17.3331892749694 clicks","Daily estimated Local Click ratio per job in  Waukesha : $ 0.160275319654029"
"312","Richardson","TX",294,39750,24.0879449046351,1.95663957283592,0.0812289956898487,-96.7092,32.9717,"Annual estimated Salary in  Richardson : $ 39750","Daily estimated Click per job in  Richardson :  24.0879449046351 clicks","Daily estimated Local Click ratio per job in  Richardson : $ 0.0812289956898487"
"313","Biloxi","MS",81,39700,21.5524537894739,3.15226827449961,0.146260296172827,-88.9542,30.4393,"Annual estimated Salary in  Biloxi : $ 39700","Daily estimated Click per job in  Biloxi :  21.5524537894739 clicks","Daily estimated Local Click ratio per job in  Biloxi : $ 0.146260296172827"
"314","Fort Walton Beach","FL",77,39700,16.6370427966598,2.45599319077913,0.147621979506612,-86.6192,30.4244,"Annual estimated Salary in  Fort Walton Beach : $ 39700","Daily estimated Click per job in  Fort Walton Beach :  16.6370427966598 clicks","Daily estimated Local Click ratio per job in  Fort Walton Beach : $ 0.147621979506612"
"315","Hampton","VA",181,39700,25.1323783736559,4.61639387674582,0.183683128119096,-76.3629,37.0551,"Annual estimated Salary in  Hampton : $ 39700","Daily estimated Click per job in  Hampton :  25.1323783736559 clicks","Daily estimated Local Click ratio per job in  Hampton : $ 0.183683128119096"
"316","Martinsburg","WV",86,39700,25.7324737572461,4.98372524569391,0.193674548848632,-77.9779,39.458,"Annual estimated Salary in  Martinsburg : $ 39700","Daily estimated Click per job in  Martinsburg :  25.7324737572461 clicks","Daily estimated Local Click ratio per job in  Martinsburg : $ 0.193674548848632"
"317","Westborough","MA",109,39700,18.06105821053,1.50791574617064,0.0834898890526522,-71.6168,42.2672,"Annual estimated Salary in  Westborough : $ 39700","Daily estimated Click per job in  Westborough :  18.06105821053 clicks","Daily estimated Local Click ratio per job in  Westborough : $ 0.0834898890526522"
"318","Billings","MT",202,39650,18.3518803314807,7.79515179769434,0.424760387322415,-108.5498,45.7892,"Annual estimated Salary in  Billings : $ 39650","Daily estimated Click per job in  Billings :  18.3518803314807 clicks","Daily estimated Local Click ratio per job in  Billings : $ 0.424760387322415"
"319","Brooklyn","NY",912,39600,28.6724182268749,11.2486147809293,0.392314826462242,-73.9496,40.6501,"Annual estimated Salary in  Brooklyn : $ 39600","Daily estimated Click per job in  Brooklyn :  28.6724182268749 clicks","Daily estimated Local Click ratio per job in  Brooklyn : $ 0.392314826462242"
"320","Colorado Springs","CO",975,39600,21.9093823345391,8.84767359906349,0.403830352858261,-104.7605,38.8673,"Annual estimated Salary in  Colorado Springs : $ 39600","Daily estimated Click per job in  Colorado Springs :  21.9093823345391 clicks","Daily estimated Local Click ratio per job in  Colorado Springs : $ 0.403830352858261"
"321","Durham","NC",530,39600,25.5316674094571,5.24614323752193,0.205475935174478,-78.9045,35.9801,"Annual estimated Salary in  Durham : $ 39600","Daily estimated Click per job in  Durham :  25.5316674094571 clicks","Daily estimated Local Click ratio per job in  Durham : $ 0.205475935174478"
"322","Lewiston","ME",83,39600,20.1599406407482,4.04706286662835,0.200747757086558,-70.1681,44.0915,"Annual estimated Salary in  Lewiston : $ 39600","Daily estimated Click per job in  Lewiston :  20.1599406407482 clicks","Daily estimated Local Click ratio per job in  Lewiston : $ 0.200747757086558"
"323","Waukegan","IL",102,39600,21.9653555469169,3.16355805848328,0.144024896465987,-87.8716,42.3697,"Annual estimated Salary in  Waukegan : $ 39600","Daily estimated Click per job in  Waukegan :  21.9653555469169 clicks","Daily estimated Local Click ratio per job in  Waukegan : $ 0.144024896465987"
"324","Industry","CA",206,39500,27.1007845135435,1.2754706680716,0.047063975857754,-117.9268,34.0175,"Annual estimated Salary in  Industry : $ 39500","Daily estimated Click per job in  Industry :  27.1007845135435 clicks","Daily estimated Local Click ratio per job in  Industry : $ 0.047063975857754"
"325","King of Prussia","PA",249,39500,20.2075056871373,1.37845232627,0.068214867664119,-75.3821,40.0962,"Annual estimated Salary in  King of Prussia : $ 39500","Daily estimated Click per job in  King of Prussia :  20.2075056871373 clicks","Daily estimated Local Click ratio per job in  King of Prussia : $ 0.068214867664119"
"326","New Albany","OH",51,39500,23.0552815320147,1.88247227746584,0.0816503704303859,-82.7926,40.0808,"Annual estimated Salary in  New Albany : $ 39500","Daily estimated Click per job in  New Albany :  23.0552815320147 clicks","Daily estimated Local Click ratio per job in  New Albany : $ 0.0816503704303859"
"327","Santa Fe Springs","CA",87,39500,24.1438746384492,1.2641354094146,0.0523584316247841,-118.0625,33.933,"Annual estimated Salary in  Santa Fe Springs : $ 39500","Daily estimated Click per job in  Santa Fe Springs :  24.1438746384492 clicks","Daily estimated Local Click ratio per job in  Santa Fe Springs : $ 0.0523584316247841"
"328","Winston-Salem","NC",456,39500,26.0204370115344,1.09028724869672,0.0419011889851586,-80.261,36.1029,"Annual estimated Salary in  Winston-Salem : $ 39500","Daily estimated Click per job in  Winston-Salem :  26.0204370115344 clicks","Daily estimated Local Click ratio per job in  Winston-Salem : $ 0.0419011889851586"
"329","Bristol","CT",57,39400,26.2760670231157,3.5426293931019,0.134823426579989,-72.9407,41.6812,"Annual estimated Salary in  Bristol : $ 39400","Daily estimated Click per job in  Bristol :  26.2760670231157 clicks","Daily estimated Local Click ratio per job in  Bristol : $ 0.134823426579989"
"330","Laurel","MD",133,39400,23.8500022330629,3.01373451657564,0.126362022406763,-76.8629,39.0955,"Annual estimated Salary in  Laurel : $ 39400","Daily estimated Click per job in  Laurel :  23.8500022330629 clicks","Daily estimated Local Click ratio per job in  Laurel : $ 0.126362022406763"
"331","Poway","CA",78,39350,23.0701704940044,2.07447630839033,0.0899202851114366,-117.0201,32.9872,"Annual estimated Salary in  Poway : $ 39350","Daily estimated Click per job in  Poway :  23.0701704940044 clicks","Daily estimated Local Click ratio per job in  Poway : $ 0.0899202851114366"
"332","Fresno","CA",543,39300,26.0590895838424,9.2200326521377,0.353812539094016,-119.7933,36.7834,"Annual estimated Salary in  Fresno : $ 39300","Daily estimated Click per job in  Fresno :  26.0590895838424 clicks","Daily estimated Local Click ratio per job in  Fresno : $ 0.353812539094016"
"333","Middletown","CT",66,39300,21.0020769201234,3.12932980756923,0.149000968783751,-72.6549,41.5476,"Annual estimated Salary in  Middletown : $ 39300","Daily estimated Click per job in  Middletown :  21.0020769201234 clicks","Daily estimated Local Click ratio per job in  Middletown : $ 0.149000968783751"
"334","New Hyde Park","NY",111,39300,20.7401126372048,1.29768556714591,0.0625688775102429,-73.6857,40.7324,"Annual estimated Salary in  New Hyde Park : $ 39300","Daily estimated Click per job in  New Hyde Park :  20.7401126372048 clicks","Daily estimated Local Click ratio per job in  New Hyde Park : $ 0.0625688775102429"
"335","Waterloo","IA",155,39300,20.6235051238899,5.14269754901559,0.249360984862771,-92.3522,42.492,"Annual estimated Salary in  Waterloo : $ 39300","Daily estimated Click per job in  Waterloo :  20.6235051238899 clicks","Daily estimated Local Click ratio per job in  Waterloo : $ 0.249360984862771"
"336","Memphis","TN",952,39250,36.8481861573388,11.0345800300843,0.299460602564467,-89.9773,35.1047,"Annual estimated Salary in  Memphis : $ 39250","Daily estimated Click per job in  Memphis :  36.8481861573388 clicks","Daily estimated Local Click ratio per job in  Memphis : $ 0.299460602564467"
"337","Concord","NH",120,39200,20.4890393497998,3.40897877272762,0.166380605480214,-71.5595,43.2307,"Annual estimated Salary in  Concord : $ 39200","Daily estimated Click per job in  Concord :  20.4890393497998 clicks","Daily estimated Local Click ratio per job in  Concord : $ 0.166380605480214"
"338","Fort Lauderdale","FL",693,39200,30.3462842848922,6.76099447253543,0.222794804433483,-80.1464,26.1412,"Annual estimated Salary in  Fort Lauderdale : $ 39200","Daily estimated Click per job in  Fort Lauderdale :  30.3462842848922 clicks","Daily estimated Local Click ratio per job in  Fort Lauderdale : $ 0.222794804433483"
"339","Lakewood","NJ",54,39200,20.4371303087295,2.21779403194492,0.108517878901893,-74.2117,40.0943,"Annual estimated Salary in  Lakewood : $ 39200","Daily estimated Click per job in  Lakewood :  20.4371303087295 clicks","Daily estimated Local Click ratio per job in  Lakewood : $ 0.108517878901893"
"340","Milpitas","CA",183,39200,16.246021566288,1.52967541039773,0.0941569235370181,-121.8921,37.4338,"Annual estimated Salary in  Milpitas : $ 39200","Daily estimated Click per job in  Milpitas :  16.246021566288 clicks","Daily estimated Local Click ratio per job in  Milpitas : $ 0.0941569235370181"
"341","Montgomery","AL",261,39200,27.9087231264082,9.12250617369708,0.326869349499728,NA,NA,"Annual estimated Salary in  Montgomery : $ 39200","Daily estimated Click per job in  Montgomery :  27.9087231264082 clicks","Daily estimated Local Click ratio per job in  Montgomery : $ 0.326869349499728"
"342","Rock Hill","SC",152,39200,20.0699204627101,4.71447499707889,0.234902525191288,-81.026,34.9413,"Annual estimated Salary in  Rock Hill : $ 39200","Daily estimated Click per job in  Rock Hill :  20.0699204627101 clicks","Daily estimated Local Click ratio per job in  Rock Hill : $ 0.234902525191288"
"343","Centennial","CO",199,39100,23.3228083624657,1.05875449268852,0.045395669176462,-104.8674,39.5927,"Annual estimated Salary in  Centennial : $ 39100","Daily estimated Click per job in  Centennial :  23.3228083624657 clicks","Daily estimated Local Click ratio per job in  Centennial : $ 0.045395669176462"
"344","Duluth","GA",231,39100,29.6325352346496,2.50305455983717,0.0844698079329479,-84.1493,34.0054,"Annual estimated Salary in  Duluth : $ 39100","Daily estimated Click per job in  Duluth :  29.6325352346496 clicks","Daily estimated Local Click ratio per job in  Duluth : $ 0.0844698079329479"
"345","Waxahachie","TX",55,39100,22.3407679353333,3.32218351008017,0.148704982733648,-96.8428,32.4035,"Annual estimated Salary in  Waxahachie : $ 39100","Daily estimated Click per job in  Waxahachie :  22.3407679353333 clicks","Daily estimated Local Click ratio per job in  Waxahachie : $ 0.148704982733648"
"346","Easton","MD",56,39000,13.7785488948884,2.20812067464068,0.160257853819414,-76.0702,38.776,"Annual estimated Salary in  Easton : $ 39000","Daily estimated Click per job in  Easton :  13.7785488948884 clicks","Daily estimated Local Click ratio per job in  Easton : $ 0.160257853819414"
"347","Hackensack","NJ",101,39000,22.4946986583526,1.71833236594823,0.0763883256248998,-74.0461,40.8889,"Annual estimated Salary in  Hackensack : $ 39000","Daily estimated Click per job in  Hackensack :  22.4946986583526 clicks","Daily estimated Local Click ratio per job in  Hackensack : $ 0.0763883256248998"
"348","Newton","MA",96,39000,17.0743416737357,1.19738928394214,0.0701279912761732,-71.2085,42.3317,"Annual estimated Salary in  Newton : $ 39000","Daily estimated Click per job in  Newton :  17.0743416737357 clicks","Daily estimated Local Click ratio per job in  Newton : $ 0.0701279912761732"
"349","Plymouth Meeting","PA",83,39000,20.1449599302786,1.38781189462272,0.0688912710388065,-75.2798,40.1099,"Annual estimated Salary in  Plymouth Meeting : $ 39000","Daily estimated Click per job in  Plymouth Meeting :  20.1449599302786 clicks","Daily estimated Local Click ratio per job in  Plymouth Meeting : $ 0.0688912710388065"
"350","Santa Rosa","CA",286,39000,15.1460393572627,4.09369952401097,0.270281849099249,-122.7059,38.4465,"Annual estimated Salary in  Santa Rosa : $ 39000","Daily estimated Click per job in  Santa Rosa :  15.1460393572627 clicks","Daily estimated Local Click ratio per job in  Santa Rosa : $ 0.270281849099249"
"351","Fountain Valley","CA",80,38950,23.9556861482317,2.03854453223151,0.0850964785403146,-117.9514,33.7105,"Annual estimated Salary in  Fountain Valley : $ 38950","Daily estimated Click per job in  Fountain Valley :  23.9556861482317 clicks","Daily estimated Local Click ratio per job in  Fountain Valley : $ 0.0850964785403146"
"352","Rosemont","IL",80,38950,18.4943267150813,0.923026621617235,0.0499086360826831,-87.8717,41.989,"Annual estimated Salary in  Rosemont : $ 38950","Daily estimated Click per job in  Rosemont :  18.4943267150813 clicks","Daily estimated Local Click ratio per job in  Rosemont : $ 0.0499086360826831"
"353","Anaheim","CA",348,38900,24.4167424551665,3.4036883199816,0.139399771539196,-117.8572,33.839,"Annual estimated Salary in  Anaheim : $ 38900","Daily estimated Click per job in  Anaheim :  24.4167424551665 clicks","Daily estimated Local Click ratio per job in  Anaheim : $ 0.139399771539196"
"354","Hammond","IN",67,38900,33.5165303045969,4.03789061452839,0.120474600975465,-87.4908,41.617,"Annual estimated Salary in  Hammond : $ 38900","Daily estimated Click per job in  Hammond :  33.5165303045969 clicks","Daily estimated Local Click ratio per job in  Hammond : $ 0.120474600975465"
"355","Medford","MA",58,38900,17.7039046843289,1.9920351491865,0.112519536492411,-71.1087,42.4234,"Annual estimated Salary in  Medford : $ 38900","Daily estimated Click per job in  Medford :  17.7039046843289 clicks","Daily estimated Local Click ratio per job in  Medford : $ 0.112519536492411"
"356","Orlando","FL",1869,38900,31.1232111265728,10.4492002471296,0.335736573087993,-81.3448,28.4801,"Annual estimated Salary in  Orlando : $ 38900","Daily estimated Click per job in  Orlando :  31.1232111265728 clicks","Daily estimated Local Click ratio per job in  Orlando : $ 0.335736573087993"
"357","Downers Grove","IL",153,38800,24.5419118161271,1.86236785183817,0.0758851985856442,-88.017,41.7947,"Annual estimated Salary in  Downers Grove : $ 38800","Daily estimated Click per job in  Downers Grove :  24.5419118161271 clicks","Daily estimated Local Click ratio per job in  Downers Grove : $ 0.0758851985856442"
"358","Torrance","CA",313,38800,20.5555199062813,2.42905975114316,0.118170679322049,-118.3417,33.8346,"Annual estimated Salary in  Torrance : $ 38800","Daily estimated Click per job in  Torrance :  20.5555199062813 clicks","Daily estimated Local Click ratio per job in  Torrance : $ 0.118170679322049"
"359","Blacksburg","VA",102,38750,15.9861428879209,2.59010730154056,0.162022028684457,-80.4277,37.23,"Annual estimated Salary in  Blacksburg : $ 38750","Daily estimated Click per job in  Blacksburg :  15.9861428879209 clicks","Daily estimated Local Click ratio per job in  Blacksburg : $ 0.162022028684457"
"360","Goleta","CA",60,38750,15.2238112067134,1.71544797719734,0.112681900340491,-119.8597,34.436,"Annual estimated Salary in  Goleta : $ 38750","Daily estimated Click per job in  Goleta :  15.2238112067134 clicks","Daily estimated Local Click ratio per job in  Goleta : $ 0.112681900340491"
"361","Olympia","WA",172,38750,23.6024153270242,5.81872756876596,0.246531021852821,-122.8958,47.0417,"Annual estimated Salary in  Olympia : $ 38750","Daily estimated Click per job in  Olympia :  23.6024153270242 clicks","Daily estimated Local Click ratio per job in  Olympia : $ 0.246531021852821"
"362","Cincinnati","OH",1396,38700,21.6830791885681,6.40592729554351,0.295434391021405,-84.506,39.1412,"Annual estimated Salary in  Cincinnati : $ 38700","Daily estimated Click per job in  Cincinnati :  21.6830791885681 clicks","Daily estimated Local Click ratio per job in  Cincinnati : $ 0.295434391021405"
"363","Clackamas","OR",89,38700,16.9949467378877,1.29433972848752,0.0761602697819576,NA,NA,"Annual estimated Salary in  Clackamas : $ 38700","Daily estimated Click per job in  Clackamas :  16.9949467378877 clicks","Daily estimated Local Click ratio per job in  Clackamas : $ 0.0761602697819576"
"364","Glendora","CA",54,38700,19.7562973227699,1.93194901847168,0.0977890232622197,-117.8466,34.1449,"Annual estimated Salary in  Glendora : $ 38700","Daily estimated Click per job in  Glendora :  19.7562973227699 clicks","Daily estimated Local Click ratio per job in  Glendora : $ 0.0977890232622197"
"365","Minneapolis-Saint Paul","MN",133,38700,30.3271212380391,1.19194235263818,0.0393028518362349,NA,NA,"Annual estimated Salary in  Minneapolis-Saint Paul : $ 38700","Daily estimated Click per job in  Minneapolis-Saint Paul :  30.3271212380391 clicks","Daily estimated Local Click ratio per job in  Minneapolis-Saint Paul : $ 0.0393028518362349"
"366","New Castle","DE",82,38650,37.5472567032589,3.4445301572735,0.0917385305801723,-75.5684,39.6689,"Annual estimated Salary in  New Castle : $ 38650","Daily estimated Click per job in  New Castle :  37.5472567032589 clicks","Daily estimated Local Click ratio per job in  New Castle : $ 0.0917385305801723"
"367","San Rafael","CA",132,38650,14.125112744724,1.59887408882611,0.113193722253531,-122.5222,37.9905,"Annual estimated Salary in  San Rafael : $ 38650","Daily estimated Click per job in  San Rafael :  14.125112744724 clicks","Daily estimated Local Click ratio per job in  San Rafael : $ 0.113193722253531"
"368","Bremerton","WA",81,38600,17.1026338538122,2.77605141621016,0.162317186927988,-122.7121,47.5436,"Annual estimated Salary in  Bremerton : $ 38600","Daily estimated Click per job in  Bremerton :  17.1026338538122 clicks","Daily estimated Local Click ratio per job in  Bremerton : $ 0.162317186927988"
"369","Des Moines","IA",534,38600,22.236353882128,5.57244394021393,0.250600614190291,-93.6104,41.5725,"Annual estimated Salary in  Des Moines : $ 38600","Daily estimated Click per job in  Des Moines :  22.236353882128 clicks","Daily estimated Local Click ratio per job in  Des Moines : $ 0.250600614190291"
"370","Madison","WI",771,38600,17.7990186737515,5.35931896349805,0.301101934984849,-89.3921,43.0809,"Annual estimated Salary in  Madison : $ 38600","Daily estimated Click per job in  Madison :  17.7990186737515 clicks","Daily estimated Local Click ratio per job in  Madison : $ 0.301101934984849"
"371","Manchester","NH",233,38600,21.6955234957651,4.22447132427345,0.194716266012114,-71.4445,42.9844,"Annual estimated Salary in  Manchester : $ 38600","Daily estimated Click per job in  Manchester :  21.6955234957651 clicks","Daily estimated Local Click ratio per job in  Manchester : $ 0.194716266012114"
